Label,area_0,area_1,area_2,area_3,area_4
Parasitized,30.5,13,15,100.5,118
Parasitized,103,10153,0,0,0
Parasitized,101,163.5,2,2,3280
Parasitized,32.5,162,19003.5,0,0
Parasitized,274,9574.5,0,0,0
Parasitized,15,873,289,7115,0
Parasitized,167.5,14879,0,0,0
Parasitized,55.5,115,14153.5,0,0
Parasitized,56,7,243.5,12372,0
Parasitized,122,11587,0,0,0
Parasitized,11,2,21,7.5,147
Parasitized,155,8673.5,0,0,0
Parasitized,138,11790.5,0,0,0
Parasitized,18.5,101.5,6989,0,0
Parasitized,14,0.5,0.5,0,6082
Parasitized,841,102.5,63,15173,0
Parasitized,48.5,286,15,51.5,51
Parasitized,203.5,136.5,237.5,14305,0
Parasitized,292,45.5,501,16878.5,0
Parasitized,99,125.5,9448,0,0
Parasitized,126.5,13722,0,0,0
Parasitized,8469.5,0,0,0,0
Parasitized,191.5,233,20832,0,0
Parasitized,114,13329.5,0,0,0
Parasitized,2,229,10.5,6,15287
Parasitized,144,106.5,22.5,11589,0
Parasitized,0.5,0,0,2,33.5
Parasitized,585,12694,0,0,0
Parasitized,182.5,19889,0,0,0
Parasitized,0.5,0.5,10,41.5,2200.5
Parasitized,206.5,35,7806,0,0
Parasitized,60.5,84,11432.5,0,0
Parasitized,189,11833,0,0,0
Parasitized,77,204,378,5841.5,0
Parasitized,38,16864,0,0,0
Parasitized,4,16225,0,0,0
Parasitized,175.5,13532,0,0,0
Parasitized,203,14400.5,0,0,0
Parasitized,190.5,12099,0,0,0
Parasitized,0,766,16980.5,0,0
Parasitized,206.5,16.5,12735,0,0
Parasitized,93,21000.5,0,0,0
Parasitized,70.5,23,34,12501.5,0
Parasitized,68,9610.5,0,0,0
Parasitized,150.5,21782.5,0,0,0
Parasitized,109,13136.5,0,0,0
Parasitized,263,12798,0,0,0
Parasitized,12099,0,0,0,0
Parasitized,190.5,13401,0,0,0
Parasitized,138.5,10936.5,0,0,0
Parasitized,132,9942,0,0,0
Parasitized,5.5,15.5,149,15217,0
Parasitized,73,37.5,40,7404,0
Parasitized,199,9020,0,0,0
Parasitized,325,16829,0,0,0
Parasitized,19.5,11400,0,0,0
Parasitized,267.5,16889,0,0,0
Parasitized,312,13105,0,0,0
Parasitized,124,15883,0,0,0
Parasitized,7718.5,0,0,0,0
Parasitized,5.5,97.5,322,349.5,12597
Parasitized,174,13951.5,0,0,0
Parasitized,30.5,2,9.5,19,2
Parasitized,246.5,35,242.5,0,8349.5
Parasitized,13217,0,0,0,0
Parasitized,17.5,168,9958.5,0,0
Parasitized,186,13217,0,0,0
Parasitized,21.5,28.5,46,382.5,24
Parasitized,16.5,227,8.5,4,10598
Parasitized,1351,12981.5,0,0,0
Parasitized,23.5,11687,0,0,0
Parasitized,10553.5,0,0,0,0
Parasitized,10679.5,0,0,0,0
Parasitized,228,11895.5,0,0,0
Parasitized,21.5,123.5,11108,0,0
Parasitized,134,7209.5,0,0,0
Parasitized,99,49,12354,0,0
Parasitized,112.5,15594.5,0,0,0
Parasitized,257.5,167.5,8634,0,0
Parasitized,132.5,12638,0,0,0
Parasitized,120,206,12094.5,0,0
Parasitized,247.5,13934.5,0,0,0
Parasitized,184.5,7,12897,0,0
Parasitized,2,29.5,2,38,412
Parasitized,134,60,8.5,13968.5,0
Parasitized,111,9382,0,0,0
Parasitized,1124.5,7338.5,9835.5,0,0
Parasitized,33,10,12185.5,0,0
Parasitized,125,43.5,211,9422,0
Parasitized,204.5,12189,0,0,0
Parasitized,81,8901,0,0,0
Parasitized,167,151.5,8662.5,0,0
Parasitized,128.5,93,11432,0,0
Parasitized,123.5,10785.5,0,0,0
Parasitized,4038.5,0,0,0,0
Parasitized,13868,0,0,0,0
Parasitized,12855,0,0,0,0
Parasitized,58,52,101.5,38,55
Parasitized,15,71,0,265.5,11249
Parasitized,12531,0,0,0,0
Parasitized,90,86,14151,0,0
Parasitized,8.5,160.5,12054,0,0
Parasitized,166,14473,0,0,0
Parasitized,36,15156,0,0,0
Parasitized,236,9473,0,0,0
Parasitized,19.5,325.5,234,7,101.5
Parasitized,9963,0,0,0,0
Parasitized,17.5,43,14849.5,0,0
Parasitized,0,0,4125,0,1684.5
Parasitized,146.5,4,11957.5,0,0
Parasitized,5.5,76,43.5,0,0
Parasitized,8284.5,0,0,0,0
Parasitized,70.5,8647.5,0,0,0
Parasitized,682.5,4810,200,8100,0
Parasitized,113,90.5,17533.5,0,0
Parasitized,58.5,42,112,44,550
Parasitized,7523,0,0,0,0
Parasitized,115.5,11816.5,0,0,0
Parasitized,17.5,227,30,33,7
Parasitized,72,147.5,13013,0,0
Parasitized,68,15728,0,0,0
Parasitized,159.5,4,4,194,11882
Parasitized,164,76.5,13988.5,0,0
Parasitized,134.5,11411.5,0,0,0
Parasitized,304.5,2,14,8423.5,0
Parasitized,222.5,11880.5,0,0,0
Parasitized,0,19,10.5,4,2097.5
Parasitized,59.5,13121,0,0,0
Parasitized,38,10755,0,0,0
Parasitized,98,14600.5,0,0,0
Parasitized,24,74,2,4,6
Parasitized,213,8345,0,0,0
Parasitized,16,33,26.5,0.5,0.5
Parasitized,101.5,17176,0,0,0
Parasitized,144,10595.5,0,0,0
Parasitized,20203,0,0,0,0
Parasitized,105.5,9725.5,0,0,0
Parasitized,201,12013.5,0,0,0
Parasitized,81,6391.5,0,0,0
Parasitized,71,11675,0,0,0
Parasitized,116,13574.5,0,0,0
Parasitized,87.5,65,16503,0,0
Parasitized,28.5,40,10201,0,0
Parasitized,10636,0,0,0,0
Parasitized,10372.5,0,0,0,0
Parasitized,709,238.5,34.5,13060,0
Parasitized,233,24,16234.5,0,0
Parasitized,7,2,4.5,308,79.5
Parasitized,172.5,13018,0,0,0
Parasitized,251,16110,0,0,0
Parasitized,29.5,177.5,36,169.5,16537
Parasitized,0.5,425,0,28.5,0
Parasitized,31.5,12959.5,0,0,0
Parasitized,31.5,141.5,14023,0,0
Parasitized,156,17111,0,0,0
Parasitized,118.5,17.5,15494,0,0
Parasitized,20.5,2,27.5,363,210.5
Parasitized,19.5,37,14184.5,0,0
Parasitized,120.5,16432,0,0,0
Parasitized,10,12.5,11,32,270.5
Parasitized,31.5,130.5,10771.5,0,0
Parasitized,67.5,13099.5,0,0,0
Parasitized,37.5,2,59.5,336.5,14980
Parasitized,150,14981,0,0,0
Parasitized,2,2649.5,6355.5,0,0
Parasitized,42.5,348.5,14588.5,237,0
Parasitized,16,14755,0,0,0
Parasitized,25,8,0.5,236,34
Parasitized,248,13220,0,0,0
Parasitized,227,13685.5,0,0,0
Parasitized,44.5,23.5,315,18353.5,0
Parasitized,10960,0,0,0,0
Parasitized,157.5,3,13066,0,0
Parasitized,172,12967,0,0,0
Parasitized,24.5,10391,0,0,0
Parasitized,53.5,196,11286.5,0,0
Parasitized,254,15,13622.5,0,0
Parasitized,126.5,22179,0,0,0
Parasitized,150.5,11075.5,0,0,0
Parasitized,72,127,9706,0,0
Parasitized,369,20,9556,0,0
Parasitized,233.5,11084,0,0,0
Parasitized,115,7579,0,0,0
Parasitized,29,23.5,9.5,7,5.5
Parasitized,8.5,213.5,13428,0,0
Parasitized,16098.5,0,0,0,0
Parasitized,478,2,55.5,13737.5,0
Parasitized,48,7,16333.5,0,0
Parasitized,82,116,12883.5,0,0
Parasitized,182.5,17647.5,0,0,0
Parasitized,17.5,72,175.5,14499,0
Parasitized,134.5,12044,0,0,0
Parasitized,244.5,6626.5,0,0,0
Parasitized,167,10747.5,0,0,0
Parasitized,146,10680,0,0,0
Parasitized,96,146.5,15,13855.5,0
Parasitized,201.5,19925.5,0,0,0
Parasitized,497.5,0.5,31.5,1.5,12.5
Parasitized,0,1.5,4343.5,11706,0
Parasitized,60,18448,0,0,0
Parasitized,277.5,13139.5,0,0,0
Parasitized,99,144,12031.5,0,0
Parasitized,41.5,18069.5,0,0,0
Parasitized,149.5,10694.5,0,0,0
Parasitized,7,201,270.5,16423.5,0
Parasitized,68,19257,0,0,0
Parasitized,125.5,15404,0,0,0
Parasitized,187.5,22186.5,0,0,0
Parasitized,10148,0,0,0,0
Parasitized,66,13998.5,0,0,0
Parasitized,186.5,10971,0,0,0
Parasitized,197,128.5,15854.5,0,0
Parasitized,166,11899.5,0,0,0
Parasitized,167.5,26,96,12628,0
Parasitized,307.5,10407,0,0,0
Parasitized,212.5,56.5,8.5,0,10.5
Parasitized,37,1039.5,8639,11476,0
Parasitized,269,520.5,11959,0,0
Parasitized,9388,0,0,0,0
Parasitized,284,20339,0,0,0
Parasitized,11862,0,0,0,0
Parasitized,182.5,178,21106,0,0
Parasitized,34.5,250.5,15,15714.5,0
Parasitized,11546.5,0,0,0,0
Parasitized,82.5,10305.5,0,0,0
Parasitized,13452.5,0,0,0,0
Parasitized,10,12819.5,0,0,0
Parasitized,126,43,11901.5,0,0
Parasitized,114,0,146.5,11158,0
Parasitized,170,10639.5,0,0,0
Parasitized,101,7054,10622.5,0,0
Parasitized,258.5,8177,0,0,0
Parasitized,138,13043.5,0,0,0
Parasitized,21,163.5,15299,160,0
Parasitized,90.5,11393,0,0,0
Parasitized,62.5,48.5,129,12405.5,0
Parasitized,445.5,243.5,14073,0,0
Parasitized,30,172.5,11969.5,0,0
Parasitized,5929.5,0,0,0,0
Parasitized,186,10244.5,0,0,0
Parasitized,127,9868.5,0,0,0
Parasitized,28.5,18.5,166,17699.5,0
Parasitized,26.5,255.5,223,164.5,11803.5
Parasitized,105,113,11400.5,0,0
Parasitized,167,7,11186.5,0,0
Parasitized,147,13246,0,0,0
Parasitized,259.5,9242,0,0,0
Parasitized,162,11958,0,0,0
Parasitized,58.5,12725.5,0,0,0
Parasitized,10,10,140,9994,0
Parasitized,125.5,20,8865.5,0,0
Parasitized,112.5,0,1876,0,0
Parasitized,125,15553.5,0,0,0
Parasitized,747,14725.5,0,0,0
Parasitized,203,13986,0,0,0
Parasitized,11378,0,0,0,0
Parasitized,142,16508,0,0,0
Parasitized,69.5,64,38.5,263,31
Parasitized,172.5,106.5,101,182,11730
Parasitized,2,24.5,11173.5,0,0
Parasitized,250,34.5,7391.5,0,0
Parasitized,121,123,11152.5,0,0
Parasitized,23.5,4,2,466,49.5
Parasitized,32,21,6635.5,10546,0
Parasitized,318.5,7417,0,0,0
Parasitized,14923.5,0,0,0,0
Parasitized,130.5,143,13216.5,0,0
Parasitized,290.5,10981,0,0,0
Parasitized,60,193,31,12861.5,0
Parasitized,74,14181,0,0,0
Parasitized,22.5,70,14897,0,0
Parasitized,26,93,99.5,11744,0
Parasitized,110,15172.5,0,0,0
Parasitized,9832.5,0,0,0,0
Parasitized,8.5,242.5,12064,0,0
Parasitized,147.5,11542,0,0,0
Parasitized,2,217.5,11122.5,0,0
Parasitized,194,15930,0,0,0
Parasitized,34,222,13323,0,0
Parasitized,389.5,15508,0,0,0
Parasitized,1318.5,9502,0,0,0
Parasitized,16998,0,0,0,0
Parasitized,9706,0,0,0,0
Parasitized,11754.5,0,0,0,0
Parasitized,68,13651.5,0,0,0
Parasitized,40,139.5,7,6981.5,0
Parasitized,203.5,7905.5,0,0,0
Parasitized,8,11659.5,0,0,0
Parasitized,77,103,159.5,175,166
Parasitized,10955.5,0,0,0,0
Parasitized,119.5,88.5,19,4,11246.5
Parasitized,76,10144,0,0,0
Parasitized,129.5,14223,0,0,0
Parasitized,176.5,64,14893,0,0
Parasitized,172.5,7756.5,0,0,0
Parasitized,179.5,8916.5,0,0,0
Parasitized,282.5,6736.5,0,0,0
Parasitized,141,20127,0,0,0
Parasitized,144,12369,0,0,0
Parasitized,2,67,4,262,10629
Parasitized,110,11465.5,0,0,0
Parasitized,54.5,106,18,111.5,70.5
Parasitized,5,1117,5,0,2.5
Parasitized,7,119,11985.5,0,0
Parasitized,168.5,214,47.5,14519.5,0
Parasitized,5940.5,0,0,0,0
Parasitized,10,1014,261,50,57
Parasitized,217.5,2353.5,7351,9587.5,0
Parasitized,16.5,273,16627.5,0,0
Parasitized,24.5,65,31,12032.5,0
Parasitized,129.5,10730,0,0,0
Parasitized,64,10903.5,0,0,0
Parasitized,134.5,12915.5,0,0,0
Parasitized,148,12490,0,0,0
Parasitized,4,151,13108,0,0
Parasitized,123.5,104.5,11507,0,0
Parasitized,189,15390,0,0,0
Parasitized,111,9129,0,0,0
Parasitized,187,9606.5,0,0,0
Parasitized,87,152,14519,0,0
Parasitized,51.5,104,13587,0,0
Parasitized,135,7,18741,0,0
Parasitized,15363.5,0,0,0,0
Parasitized,18.5,9372,0,0,0
Uninfected,0,0,4,0.5,0.5
Uninfected,13169.5,0,0,0,0
Uninfected,10388.5,0,0,0,0
Uninfected,17873.5,0,0,0,0
Uninfected,16778,0,0,0,0
Uninfected,12172,0,0,0,0
Uninfected,10312,0,0,0,0
Uninfected,3113,0,0,0,0
Uninfected,9495.5,0,0,0,0
Uninfected,8074.5,0,0,0,0
Uninfected,8231.5,0,0,0,0
Uninfected,11838,0,0,0,0
Uninfected,8,15444.5,0,0,0
Uninfected,15596,0,0,0,0
Uninfected,13269,0,0,0,0
Uninfected,9863,0,0,0,0
Uninfected,13971.5,0,0,0,0
Uninfected,18688,0,0,0,0
Uninfected,10235.5,0,0,0,0
Uninfected,1070.5,13010,0,0,0
Uninfected,13743.5,0,0,0,0
Uninfected,13350,0,0,0,0
Uninfected,10834.5,0,0,0,0
Uninfected,8917.5,0,0,0,0
Uninfected,4,14373.5,0,0,0
Uninfected,13011.5,0,0,0,0
Uninfected,13539,0,0,0,0
Uninfected,16157.5,0,0,0,0
Uninfected,10635,0,0,0,0
Uninfected,11468,0,0,0,0
Uninfected,11159,0,0,0,0
Uninfected,10001.5,0,0,0,0
Uninfected,9138.5,0,0,0,0
Uninfected,11283,0,0,0,0
Uninfected,12473,0,0,0,0
Uninfected,9781.5,0,0,0,0
Uninfected,13690,0,0,0,0
Uninfected,10710,0,0,0,0
Uninfected,13600,0,0,0,0
Uninfected,12948.5,0,0,0,0
Uninfected,14117.5,0,0,0,0
Uninfected,10705.5,0,0,0,0
Uninfected,10660.5,0,0,0,0
Uninfected,14939.5,0,0,0,0
Uninfected,13300,0,0,0,0
Uninfected,5745.5,0,0,0,0
Uninfected,9446.5,0,0,0,0
Uninfected,106.5,9949,0,0,0
Uninfected,13815,0,0,0,0
Uninfected,13491.5,0,0,0,0
Uninfected,9471,0,0,0,0
Uninfected,9020,0,0,0,0
Uninfected,10174,0,0,0,0
Uninfected,11565.5,0,0,0,0
Uninfected,10977,0,0,0,0
Uninfected,10599.5,0,0,0,0
Uninfected,10795,0,0,0,0
Uninfected,7016,0,0,0,0
Uninfected,10817,0,0,0,0
Uninfected,13682.5,0,0,0,0
Uninfected,12783,0,0,0,0
Uninfected,11613,0,0,0,0
Uninfected,12216,0,0,0,0
Uninfected,6957.5,0,0,0,0
Uninfected,9806,0,0,0,0
Uninfected,13799,0,0,0,0
Uninfected,13967,0,0,0,0
Uninfected,13033,0,0,0,0
Uninfected,13601,0,0,0,0
Uninfected,105,15452.5,0,0,0
Uninfected,12269,0,0,0,0
Uninfected,0.5,7,3480.5,5.5,6
Uninfected,10166,0,0,0,0
Uninfected,10783,0,0,0,0
Uninfected,14814.5,0,0,0,0
Uninfected,13676,0,0,0,0
Uninfected,8278.5,0,0,0,0
Uninfected,11610,0,0,0,0
Uninfected,11367.5,0,0,0,0
Uninfected,12821,0,0,0,0
Uninfected,15255,0,0,0,0
Uninfected,13127,0,0,0,0
Uninfected,9360,0,0,0,0
Uninfected,12628.5,0,0,0,0
Uninfected,60.5,406.5,19,142.5,5.5
Uninfected,7,11980,0,0,0
Uninfected,12815.5,0,0,0,0
Uninfected,15048,0,0,0,0
Uninfected,11969,0,0,0,0
Uninfected,9227.5,0,0,0,0
Uninfected,10826.5,0,0,0,0
Uninfected,13835.5,0,0,0,0
Uninfected,13285.5,0,0,0,0
Uninfected,13381,0,0,0,0
Uninfected,13078.5,0,0,0,0
Uninfected,12010,0,0,0,0
Uninfected,14599,0,0,0,0
Uninfected,15732,0,0,0,0
Uninfected,11690.5,0,0,0,0
Uninfected,11158,0,0,0,0
Uninfected,11944.5,0,0,0,0
Uninfected,28.5,26.5,153.5,8.5,68.5
Uninfected,9524,0,0,0,0
Uninfected,8644,0,0,0,0
Uninfected,7218,0,0,0,0
Uninfected,14233,0,0,0,0
Uninfected,13968,0,0,0,0
Uninfected,13930.5,0,0,0,0
Uninfected,14574,0,0,0,0
Uninfected,11513,0,0,0,0
Uninfected,12436.5,0,0,0,0
Uninfected,9800.5,0,0,0,0
Uninfected,13006.5,0,0,0,0
Uninfected,10641,0,0,0,0
Uninfected,12317,0,0,0,0
Uninfected,26,12551,0,0,0
Uninfected,12231.5,0,0,0,0
Uninfected,11,6000.5,0,0,0
Uninfected,6.5,1326,10001,0,0
Uninfected,8903.5,0,0,0,0
Uninfected,11608,0,0,0,0
Uninfected,9376.5,0,0,0,0
Uninfected,62,4,8.5,1029,15
Uninfected,12399,0,0,0,0
Uninfected,12516.5,0,0,0,0
Uninfected,8451.5,0,0,0,0
Uninfected,5490.5,0,0,0,0
Uninfected,15137,0,0,0,0
Uninfected,11025,0,0,0,0
Uninfected,12779.5,0,0,0,0
Uninfected,12883,0,0,0,0
Uninfected,15694,0,0,0,0
Uninfected,7540,0,0,0,0
Uninfected,13167.5,0,0,0,0
Uninfected,12034.5,0,0,0,0
Uninfected,9198,0,0,0,0
Uninfected,11895,0,0,0,0
Uninfected,13851.5,0,0,0,0
Uninfected,14712.5,0,0,0,0
Uninfected,9923.5,0,0,0,0
Uninfected,11994.5,0,0,0,0
Uninfected,12760,0,0,0,0
Uninfected,14238,0,0,0,0
Uninfected,11506,0,0,0,0
Uninfected,10353,0,0,0,0
Uninfected,13910,0,0,0,0
Uninfected,10596,0,0,0,0
Uninfected,10960,0,0,0,0
Uninfected,15041,0,0,0,0
Uninfected,20896.5,0,0,0,0
Uninfected,12822.5,0,0,0,0
Uninfected,11844,0,0,0,0
Uninfected,13093.5,0,0,0,0
Uninfected,0.5,1306.5,6578.5,10481.5,0
Uninfected,10776.5,0,0,0,0
Uninfected,9910,0,0,0,0
Uninfected,9376.5,0,0,0,0
Uninfected,13126.5,0,0,0,0
Uninfected,13102,0,0,0,0
Uninfected,15133,0,0,0,0
Uninfected,9906,0,0,0,0
Uninfected,9.5,53,13332,0,0
Uninfected,12190,0,0,0,0
Uninfected,43.5,10721,0,0,0
Uninfected,13615,0,0,0,0
Uninfected,18190.5,0,0,0,0
Uninfected,9376,0,0,0,0
Uninfected,10029,0,0,0,0
Uninfected,8.5,4,7,104.5,206.5
Uninfected,12525.5,0,0,0,0
Uninfected,9540,0,0,0,0
Uninfected,17408.5,0,0,0,0
Uninfected,13806.5,0,0,0,0
Uninfected,6081.5,0,0,0,0
Uninfected,10164.5,0,0,0,0
Uninfected,12458,0,0,0,0
Uninfected,9459.5,0,0,0,0
Uninfected,10867.5,0,0,0,0
Uninfected,10436,0,0,0,0
Uninfected,11186,0,0,0,0
Uninfected,7736,0,0,0,0
Uninfected,131,13445.5,0,0,0
Uninfected,11508.5,0,0,0,0
Uninfected,1,9473.5,0,0,0
Uninfected,14920,0,0,0,0
Uninfected,14595,0,0,0,0
Uninfected,12616,0,0,0,0
Uninfected,10630.5,0,0,0,0
Uninfected,10720.5,0,0,0,0
Uninfected,15568.5,0,0,0,0
Uninfected,10444.5,0,0,0,0
Uninfected,10395.5,0,0,0,0
Uninfected,13925.5,0,0,0,0
Uninfected,12864,0,0,0,0
Uninfected,12572.5,0,0,0,0
Uninfected,17.5,5.5,35,37,7
Uninfected,10273.5,0,0,0,0
Uninfected,16766,0,0,0,0
Uninfected,13262,0,0,0,0
Uninfected,10107.5,0,0,0,0
Uninfected,3544,0,0,0,0
Uninfected,7298,0,0,0,0
Uninfected,10509,0,0,0,0
Uninfected,11918.5,0,0,0,0
Uninfected,8583,0,0,0,0
Uninfected,12413.5,0,0,0,0
Uninfected,11885.5,0,0,0,0
Uninfected,10275.5,0,0,0,0
Uninfected,9845,0,0,0,0
Uninfected,17144.5,0,0,0,0
Uninfected,12450,0,0,0,0
Uninfected,7054.5,0,0,0,0
Uninfected,13360,0,0,0,0
Uninfected,18369,0,0,0,0
Uninfected,16394.5,0,0,0,0
Uninfected,12586.5,0,0,0,0
Uninfected,11243.5,0,0,0,0
Uninfected,10725,0,0,0,0
Uninfected,13183.5,0,0,0,0
Uninfected,10656,0,0,0,0
Uninfected,11938.5,0,0,0,0
Uninfected,10359,0,0,0,0
Uninfected,17886.5,0,0,0,0
Uninfected,11982.5,0,0,0,0
Uninfected,8932,0,0,0,0
Uninfected,11349.5,0,0,0,0
Uninfected,13645.5,0,0,0,0
Uninfected,7,11,29,13.5,11.5
Uninfected,15124.5,0,0,0,0
Uninfected,12261.5,0,0,0,0
Uninfected,11601,0,0,0,0
Uninfected,2757,9774.5,0,0,0
Uninfected,9402,0,0,0,0
Uninfected,12403.5,0,0,0,0
Uninfected,9857.5,0,0,0,0
Uninfected,13635,0,0,0,0
Uninfected,7801,0,0,0,0
Uninfected,12335,0,0,0,0
Uninfected,12690,0,0,0,0
Uninfected,10013,0,0,0,0
Uninfected,9562,0,0,0,0
Uninfected,12313.5,0,0,0,0
Uninfected,9610,0,0,0,0
Uninfected,7,11312.5,0,0,0
Uninfected,63,9997,0,0,0
Uninfected,13858.5,0,0,0,0
Uninfected,7984.5,0,0,0,0
Uninfected,7,9364,0,0,0
Uninfected,8661,0,0,0,0
Uninfected,7740,0,0,0,0
Uninfected,13452.5,0,0,0,0
Uninfected,30.5,9238,0,0,0
Uninfected,10148.5,0,0,0,0
Uninfected,11875,0,0,0,0
Uninfected,15253,0,0,0,0
Uninfected,10139.5,0,0,0,0
Uninfected,16087.5,0,0,0,0
Uninfected,10781,0,0,0,0
Uninfected,13463,0,0,0,0
Uninfected,12082.5,0,0,0,0
Uninfected,15460,0,0,0,0
Uninfected,0.5,11799.5,0,0,0
Uninfected,12084,0,0,0,0
Uninfected,15031.5,0,0,0,0
Uninfected,43,8.5,2,9974,0
Uninfected,6412,0,0,0,0
Uninfected,9236.5,0,0,0,0
Uninfected,9370.5,0,0,0,0
Uninfected,10533.5,0,0,0,0
Uninfected,12565.5,0,0,0,0
Uninfected,135.5,14412,0,0,0
Uninfected,11712.5,0,0,0,0
Uninfected,11110,0,0,0,0
Uninfected,19547,0,0,0,0
Uninfected,13637.5,0,0,0,0
Uninfected,11695.5,0,0,0,0
Uninfected,6594.5,0,0,0,0
Uninfected,12945,0,0,0,0
Uninfected,7928.5,0,0,0,0
Uninfected,9229.5,0,0,0,0
Uninfected,3581,8680,11614,0,0
Uninfected,10834.5,0,0,0,0
Uninfected,5,0,0,523,1925.5
Uninfected,10269.5,0,0,0,0
Uninfected,12651.5,0,0,0,0
Uninfected,13478,0,0,0,0
Uninfected,13763.5,0,0,0,0
Uninfected,12120.5,0,0,0,0
Uninfected,14995,0,0,0,0
Uninfected,9187,0,0,0,0
Uninfected,6747,0,0,0,0
Uninfected,10884.5,0,0,0,0
Uninfected,13736.5,20.5,0,0,0
Uninfected,7966,0,0,0,0
Uninfected,14697.5,0,0,0,0
Uninfected,10685.5,0,0,0,0
Uninfected,10592.5,0,0,0,0
Uninfected,9959.5,0,0,0,0
Uninfected,34.5,154,124,10037.5,0
Uninfected,10062,0,0,0,0
Uninfected,22,12204.5,0,0,0
Uninfected,14262,0,0,0,0
Uninfected,11963,0,0,0,0
Uninfected,12185.5,0,0,0,0
Uninfected,12858,0,0,0,0
Uninfected,12701,0,0,0,0
Uninfected,15914.5,0,0,0,0
Uninfected,9257.5,0,0,0,0
Uninfected,12479,0,0,0,0
Uninfected,62,19899,0,0,0
Uninfected,12190.5,0,0,0,0
Uninfected,41.5,6431.5,0,0,0
Uninfected,13172,0,0,0,0
Uninfected,13372.5,0,0,0,0
Uninfected,10433,0,0,0,0
Uninfected,301.5,969.5,4792,0,0
Uninfected,12556,0,0,0,0
Uninfected,10374,0,0,0,0
Uninfected,13057.5,0,0,0,0
Uninfected,15332.5,0,0,0,0
Uninfected,15707.5,0,0,0,0
Uninfected,11595.5,0,0,0,0
Uninfected,12349.5,0,0,0,0
Uninfected,13791,0,0,0,0
Uninfected,12303.5,0,0,0,0
Uninfected,13840.5,0,0,0,0
Uninfected,9463,0,0,0,0
Uninfected,15,28.5,46,2107,9848
Uninfected,11069,0,0,0,0
Uninfected,12992.5,0,0,0,0
Uninfected,11262.5,0,0,0,0
Uninfected,13,118.5,35,14,6913.5
Uninfected,13779,0,0,0,0
Uninfected,11414.5,0,0,0,0
Uninfected,13565,0,0,0,0
Uninfected,9246.5,0,0,0,0
Uninfected,13340,0,0,0,0
Uninfected,15214.5,0,0,0,0
